"Код_товара","Название_позиции","Ключевые_слова","Краткое_описание","Тип_товара","Цена","Валюта","Единица_измерения","Минимальный_объем_заказа","Оптовая_цена","Минимальный_заказ_опт","Ссылка_изображения","Наличие","Номер_группы","Детальное_описание","Адрес_подраздела","Возможность_поставки","Срок_поставки","Способ_упаковки","Уникальный_идентификатор","Идентификатор_товара","Идентификатор_подраздела","Идентификатор_группы","Производитель","Страна производитель"
"","Растворитель LOXEAL CR-1,  для моментальных и анаэробных клеев, 20 мл","растворитель, удалитель клея, для анаэробного клея, для моментального клея","LOXEAL CR-1 – очиститель-растворитель, удаляет отвердевший цианоакрилатный или анаэробный клей с поверхностей, разделяет склеенные поверхности.","r","","","","","","","http://images.prom.ua/7428152_w640_h640_cid44586_pid3127792.png","+","788319","<p> <strong>LOXEAL CR-1</strong> &ndash; очиститель-растворитель, удаляет отвердевший цианоакрилатный или анаэробный клей с поверхностей и разделяет склеенные поверхности.</p>
<p> <strong>Свойства продукта:</strong> &bull; Цвет: бесцветный, прозрачный.<br /> &bull; Удельный вес, г/мл: 1,1.<br /> &bull; Вязкость, при 25&deg;С, МПа*с: 1,5.<br /> &bull; Точка вспышки: 35&deg;С.<br /> &bull; Давление пара, мбар: 27.</p>
<p> <strong>Область применения:</strong> Продукт применяется для удаления брызг, потеков цианоакрилатного или анаэробного клея с поверхности при неосторожном использовании, разливе, утечке или излишнем нанесении, а также для разделения склеенных частей.</p>
<p> <strong>Рекомендации по применению:</strong> Продукт может отрицательно повлиять на определенные виды пластмасс, покрытий, волокон и тканей. Рекомендуется провести тест совместимости продукта с материалом на небольшом участке обрабатываемой поверхности.<br /> Тонкий слой клея можно удалить с помощью ткани или салфетки смоченной в растворителе. Для больших капель, разлива необходимо многократное применение растворителя на загрязненной поверхности &ndash; обычно загрязнение может быть удалено в течении 15-30 минут.<br /> Разъединение склеенных частей может занять до нескольких часов, и необходимо неоднократно применять растворитель.<br /> Как правило, продукт не рекомендуется для использования на пластиках, но потребитель может провести испытания на совместимость растворителя и обрабатываемого материала.</p>
<p> <strong>Условия хранения:</strong> Продукт должен храниться в прохладном, сухом месте в хорошо проветриваемом помещении в плотно закрытой оригинальной упаковке. Допустимая температура хранения от +8 до +28&deg;С.</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127792","","82299","","",""
"","Состав для ремонта металла, дерева, пластмассы Loxeal EPOXSTICK (Эпокстик), двухкомпонентная шпатлевка, 20 мл.","эпоксидные составы, шпатлевки, двухкомпонентный, Эпокстик, епокстик","Двухкомпонентная эпоксидная смесь для быстрого обслуживания и аварийного ремонта поверхностей и оборудования. Применяется на металле, пластике, дереве.","r","","","","","","","http://images.prom.ua/7428157_w640_h640_cid44586_pid3127793.png","+","788319","<p> <strong>Loxeal EPOXSTICK</strong> &ndash; двухкомпонентная эпоксидная смесь, пластичная шпатлевка, для быстрого обслуживания и аварийного ремонта поверхностей и оборудования, совместима с большинством материалов. Продукт прост в применении, можно вручную смешивать и наносить. Состав устойчив к воздействию воды, углеводородов, промышленных жидкостей, теплового и УФ-излучения.</p>
<p> <strong>Свойства продукта:</strong> &bull;Состав: Компонент А: эпоксидная смола, минеральные наполнители. Компонент В: смесь меркаптанов и минеральных наполнителей<br /> &bull;Цвет: белый и серый, при смешивании однородный белый<br /> &bull;Консистенция: пластичная шпатлевка.<br /> &bull;Время жизни смешанных компонентов, мин.: 5-7<br /> &bull;Время фиксации, мин.: 15.<br /> &bull;Время фиксации под водой, мин.: 20.<br /> &bull;Удельный вес, гр/см&sup3;: Компонент А: эпоксидная смола, минеральные наполнители. Компонент В: смесь меркаптанов и минеральных наполнителей.<br /> &bull;Прочность на отрыв, мПа: 43-84.<br /> &bull;Усадка: 1%.<br /> &bull;Температура нанесения, &deg;С: от &ndash;5 до +60&deg;C.<br /> &bull;Температурная стойкость, &deg;С: +150&deg;С, критично +200&deg;С.<br /> &bull;Время набора функциональной прочности (75%): 3-4 ч<br /> &bull;Время набора полной прочности (100%): 24-48 ч<br /> &bull;Ударостойкость: 75-85</p>
<p> <strong>Область применения:</strong> Состав применяется на большинстве материалов: металл, керамика, камень, бетон, дерево, жесткие пластики. Отверждается при комнатной температуре, даже под водой. Идеально подходит для устранения протечек труб, резервуаров, бассейнов, топливных емкостей, контейнеров, выравнивает вмятины на корпусах, заделывает трещины и дыры, может применяться для ремонта лодок.</p>
<p> <strong>Рекомендации по применению:</strong> Состав рекомендуется наносить на чистую обезжиренную поверхность. Компоненты продукта смешать до однородной консистенции и равномерного цвета, нанести на поверхность, выровнять вручную или шпателем. Отвержденный продукт можно механически обрабатывать и окрашивать.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место при температуре не выше +20&deg;C, предохранять от воздействия прямых солнечных лучей. Срок годности составляет 24 месяца в оригинальной упаковке при температуре +5/+20&deg;C.</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127793","","82299","","",""
"","Активатор LOXEAL ACTIVATOR 11, ускоряет отверждение моментальных и анаэробных клеев, 1 л.","активаторы, для моментального клея, для анаэробного клея","Средство для обработки поверхностей, очищает, обезжиривает, ускоряет отверждение цианоакрилатных и анаэробных клеев.","r","","","","","","","http://images.prom.ua/7428138_w640_h640_cid44586_pid3127794.png","-","788319","<p> <strong>LOXEAL ACTIVATOR 11</strong> &ndash; средство для обработки поверхностей, очищает, обезжиривает, ускоряет отверждение цианоакрилатных и анаэробных клеев. Затвердевание клеевого слоя происходит в течении 20&ndash;120 секунд зависимо от типа клея, величины зазора между соединяемыми частями и температуры среды.</p>
<p> <strong>Свойства продукта:</strong> &bull;Состав: органические химические вещества в растворителе.<br /> &bull;Цвет: зеленый.<br /> &bull;Вязкость (25 &deg;С &ndash; мPa&bull;s): 1 &ndash; 2 мПа&bull;с.<br /> &bull;Удельный вес при 25 &deg;С (гр/мл): 0,8.<br /> &bull;Давление пара при 25 &deg;C: 50 мбар.<br /> &bull;Токсичность: предельно допустимая концетрация &ndash; 270&permil;.<br /> &bull;Действие активатора на поверхности: 24 часа.</p>
<p> <strong>Область применения:</strong> Продукт применяется для подготовки поверхности и сокращения времени отверждения цианоакрилатных и анаэробных клеев в зазорах, размеры которых превышают рекомендуемые.</p>
<p> <strong>Рекомендации по применению:</strong> Активатор нанести на одну из соединяемых поверхностей, дать ему высохнуть, после чего нанести клей и собрать соединение.<br /> Продукт легковоспламеняющийся, важно использовать его в хорошо вентилируемом помещении, избегать контакта продукта с открытым пламенем или источниками искр.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в плотно закрытой оригинальной упаковке. Срок годности составляет 12 месяцев в оригинальной упаковке при температуре 8-28&deg;C.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127794","","82299","","",""
"","Праймер для полиолефинов LOXEAL ACTIVATOR 7, 20 мл","полиолефиновые, подготовка поверхностей, активаторы, моментальные клеи","Средство для активации поверхности, дающее возможность склеивать полиолефиновые и другие материалы, обычно трудно поддающиеся склеиванию.","r","","","","","","","http://images.prom.ua/7428151_w640_h640_cid44586_pid3127795.png","+","788319","<p> <strong>LOXEAL ACTIVATOR 7</strong> &ndash; Средство для обработки (активации) поверхности на основании растворителей, дающее возможность склеивать полиолефиновые материалы (полиэтилен, полипропилен), термопласты, жесткую резину, силиконы и другие трудносклеиваемые материалы. Полиолефиновый праймер рекомендуется для использования с моментальными клеями Loxeal 27, 29, 32, 43, 34.</p>
<p> <strong>Свойства продукта:</strong> &bull;Состав: алифатический амин в органическом растворителе.<br /> &bull;Цвет: бесцветный, в УФ-освещении светится.<br /> &bull;Вязкость (20 &deg;С &ndash; мPa&bull;s): 1 &ndash; 2.<br /> &bull;Удельный вес при 20 &deg;С (гр/мл): 0,74.<br /> &bull;Давление пара при 25 &deg;С: 50 мбар.<br /> &bull;Токсичность: допустимый предел концентрации &ndash; 270&permil;.</p>
<p> <strong>Область применения:</strong> Подготовка полиолефиновых и других материалов с низкой энергией поверхности к склеиванию цианоакрилатными клеями LOXEAL. На таких подготовленных поверхностях характеристики цианоакрилатных клеев соответствуют приведенным в их спецификациях значениям. Праймер применяется при соединении трудносклеиваемых материалов (полиэтилен, полипропилен, фторопласт, термоэластопласты и др. )</p>
<p> <strong>Рекомендации по применению:</strong> Тонкий слой продукта нанесите на соединяемые поверхности кисточкой и дайте ему высохнуть, после чего нанесите цианоакрилатный клей. Поверхности нужно прижать друг к другу на несколько секунд. За это время клей схватится. Наилучший результат будет достигнут, если склеивание произойдет в течение одного часа после нанесения праймера. Повторное нанесение продукта допустимо не ранее, чем через 8 часов, в противном случае новый слой праймера дезактивирует предыдущий слой. Сразу же после применения продукта необходимо плотно укупорить флакон.<br /> Продукт легковоспламеняющийся, важно использовать его в хорошо вентилируемом помещении, избегать контакта продукта с открытым пламенем или источниками искр.<br /> При склеивании полиолефиновых материалов с другими материалами, праймер следует наносить только на полиолефин.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в плотно закрытой оригинальной упаковке. Срок годности составляет 12 месяцев в оригинальной упаковке при температуре 8-28&deg;C.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127795","","82299","","",""
"","Моментальный клей для металла, резины LOXEAL ISTANT-74, t до +120°C, 20 мл","моментальные клеи, высокопрочное соединение, клей для металла, клей для пластика, клей для резины","Упрочненный резиной клей с низкой вязкостью, высокая прочность, эластичный шов, длительное время затвердевания, высокотемпературный.","r","","","","","","","http://images.prom.ua/7428149_w640_h640_cid44586_pid3127796.png","+","788319","<p> <strong>LOXEAL-74</strong> &ndash; однокомпонентный упрочненный резиной клей с низкой вязкостью на основе етилцианоакрилата, для моментального склеивания металла с металлом, металла с резиной и пластиком. Высокая прочность склеивания. Эластичный клеевой шов. Длительное время полимеризации позволяет позициционировать соединяемые элементы. Хорошее температурное сопротивление вплоть до 120&deg;C. Не содержит растворителей.</p>
<p> <strong>Свойства продукта:</strong> &bull;Химическое основание: етилцианоакрилат.<br /> &bull;Цвет: бесцветный.<br /> &bull;Вязкость, при 25 &deg;С, МПа/с: 80-150.<br /> &bull;Величина зазора: 10-100 мкм.<br /> &bull;Температура размягчения: +170&deg;C.<br /> &bull;Преломление света: как у стекла.<br /> &bull;Диэлектрическая прочность, кВ/мм: 25.<br /> &bull;Диапазон рабочих температур, &deg;С: от &ndash;50 до +120&deg;C.<br /> &bull;Время схватывания, сек.: 10-90.<br /> &bull;Время набора полной прочности (100%): 24ч</p>
<p> <strong>Область применения:</strong> Клей применяется для склеивания металла, резины, пластика и др. материалов, когда необходимо позиционировать склеиваемые элементы, если рабочая температура достигает 100-120&deg;C. Эффективен при склеивании эластомеров, поскольку обеспечивает эластичный клеевой шов.<br /> Моментальные клеи применяют для быстрого соединения широкого ряда материалов: металл, дерево, пластик, резина, картон, стекло, керамика и др. Особенно эффективны при склеивании мелких деталей. Клеи высокопрочные, устойчивы к старению и нагрузкам.</p>
<p> <strong>Процесс полимеризации:</strong> Отверждение клея происходит в маленьких зазорах при контакте с влагой воздуха (оптимально 40-60%). На скорость полимеризации влияет величина зазора и тип соединяемых материалов. Ускорить отверждение в больших зазорах можно путем применения продукта Activator 11 для моментальных<br /> клеев.</p>
<p> <strong>Рекомендации по применению:</strong> Склеиваемые поверхности необходимо очистить и обезжирить, для этих целей можно применить очиститель LOXEAL Cleaner 10. Клей нанести на одну из поверхностей, затем плотно прижать вторую на несколько секунд. Для ускорения склеивания применить LOXEAL Activator 11, который наносится на клей или на поверхность, тогда клей нанести после высыхания активатора. Трудносклеиваемые материалы, полилиэтилен, полипропилен и др. &laquo;жирные&raquo; пластики склеивать с применением LOXEAL Activator 7.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в плотно закрытой оригинальной упаковке. Срок годности составляет 12 месяцев в оригинальной упаковке при температуре 8-28&deg;C. Для увеличении срока годности продукт рекомендуется хранить при температуре +5&deg;C.</p>
<p> <strong>Осторожно!</strong> Продукт может вызывать раздражение кожи, глаз и дыхательных путей. При попадании на открытые участки кожи промыть большим количеством воды с мылом, осторожно снять слой клея пемзой. При попадании в глаза промывать открытые глаза большим количеством воды не менее 10 минут. При вдыхании паров клея обеспечить доступ свежего воздуха.</p>
<p> &nbsp;</p>","http://prom.ua/Klej-rezinovyj","","","","3127796","","82205","","",""
"","Моментальный клей LOXEAL ISTANT-63,  для разных материалов, без запаха, 20 мл","моментальные клеи, блюминг, клей для пластика, клей для металла, клей для ткани","Моментальный клей основе алкоксицианоакрилата с низкой вязкостью для склеивания широкого ряда материалов, слабый запах, не оставляет пятен.","r","","","","","","","http://images.prom.ua/7428148_w640_h640_cid44586_pid3127797.png","+","788319","<p> <strong>LOXEAL-63</strong> &ndash; однокомпонентный клей основе алкоксицианоакрилата с низкой вязкостью для моментального склеивания широкого ряда материалов. Слабый запах, можно использовать в плохо проветриваемых или закрытых помещениях. Не оставляет следов на поверхности (нет блюминг-эффекта). Низкая скорость отверждения. Высокая прочность склеивания. Не содержит растворителей.</p>
<p> <strong>Свойства продукта:</strong> &bull;Химическое основание: алкоксицианоакрилат.<br /> &bull;Цвет: бесцветный.<br /> &bull;Вязкость, при 25 &deg;С, МПа/с: 100-150.<br /> &bull;Величина зазора: 10-150 мкм.<br /> &bull;Температура размягчения: +170&deg;С.<br /> &bull;Точка вспышки: +87&deg;С.<br /> &bull;Преломление света: как у стекла.<br /> &bull;Диэлектрическая прочность, кВ/мм: 25.<br /> &bull;Диапазон рабочих температур, &deg;С: от &ndash;50 до +80&deg;С.<br /> &bull;Время схватывания, сек.: 5-90.<br /> &bull;Время набора полной прочности (100%): 24ч</p>
<p> <strong>Область применения:</strong> Клей можно использовать для широкого ряда материалов (металлы, пластик, резина, стекло, дерево, ткань и т. п. ), поскольку не дает блюминг-эффекта, можно применять на открытых поверхностях. Моментальные клеи применяют для быстрого соединения широкого ряда материалов: металл, дерево, пластик, резина, картон, стекло, керамика и др. Особенно эффективны при склеивании мелких деталей. Клеи высокопрочные, устойчивы к старению и нагрузкам.</p>
<p> <strong>Процесс полимеризации:</strong> Клей относительно медленно полимеризуется. Отверждение клея происходит в маленьких зазорах при контакте с влагой воздуха (оптимально 40-60%). На скорость полимеризации влияет величина зазора и тип соединяемых материалов. Ускорить отверждение в больших зазорах можно путем применения продукта Activator 11 для моментальных клеев.</p>
<p> <strong>Рекомендации по применению:</strong> Склеиваемые поверхности необходимо очистить и обезжирить, для этих целей можно применить очиститель LOXEAL Cleaner 10. Клей нанести на одну из поверхностей, затем плотно прижать вторую на несколько секунд. Для ускорения склеивания применить LOXEAL Activator 11, который наносится на клей или на поверхность, тогда клей нанести после высыхания активатора. Трудносклеиваемые материалы, полилиэтилен, полипропилен и др. &laquo;жирные&raquo; пластики склеивать с применением LOXEAL Activator 7.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в плотно закрытой оригинальной упаковке. Срок годности составляет 12 месяцев в оригинальной упаковке при температуре 8-28&deg;С. Для увеличении срока годности продукт рекомендуется хранить при температуре +5&deg;С.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127797","","82299","","",""
"","Моментальный клей LOXEAL ISTANT-47, гель для пористых материалов и вертикальных поверхностей, 20 мл","моментальные клеи, клей-гель, клей для дерева, клей для пластика","Гелеобразный клей на основе етилцианоакрилата для пористых и абсорбирующих поверхностей, эффективен для применения на вертикальных и потолочных поверхностях.","r","","","","","","","http://images.prom.ua/7428146_w640_h640_cid44586_pid3127798.png","+","788319","<p> <strong>LOXEAL-47</strong> &ndash; однокомпонентный гелеобразный клей на основе етилцианоакрилата для пористых и абсорбирующих поверхностей, эффективен для применения на вертикальных и потолочных поверхностях. Высокая прочность склеивания. Не содержит растворителей.</p>
<p> <strong>Свойства продукта:</strong> &bull;Химическое основание: етилцианоакрилат.<br /> &bull;Цвет: бесцветный.<br /> &bull;Вязкость: гель.<br /> &bull;Величина зазора: 10-300 мкм.<br /> &bull;Температура размягчения: +170&deg;С.<br /> &bull;Точка вспышки: +87&deg;С.<br /> &bull;Преломление света: как у стекла.<br /> &bull;Диэлектрическая прочность, кВ/мм: 25.<br /> &bull;Диапазон рабочих температур, &deg;С: от &ndash;50 до +80&deg;С.<br /> &bull;Время схватывания, сек.: 3-30.<br /> &bull;Время набора полной прочности (100%): 24ч</p>
<p> <strong>Область применения:</strong> Продукт эффективен для использования на вертикальных и потолочных поверхностях. Моментальные клеи применяют для быстрого соединения широкого ряда материалов: металл, дерево, пробка, пластик, резина, картон, стекло, керамика и др. Особенно эффективны при склеивании мелких деталей. Клеи высокопрочные, устойчивы к старению и нагрузкам.</p>
<p> <strong>Процесс полимеризации:</strong> Отверждение клея происходит в маленьких зазорах при контакте с влагой воздуха (оптимально 40-60%). На скорость полимеризации влияет величина зазора и тип соединяемых материалов. Ускорить отверждение в больших зазорах можно путем применения продукта Activator 11 для моментальных клеев.</p>
<p> <strong>Рекомендации по применению:</strong> Склеиваемые поверхности необходимо очистить и обезжирить, для этих целей можно применить очиститель LOXEAL Cleaner 10. Клей нанести на одну из поверхностей, затем плотно прижать вторую на несколько секунд. Излишки клея удаляются органическим растворителем. Для ускорения склеивания применить LOXEAL Activator 11, который наносится на клей или на поверхность, тогда клей нанести после высыхания активатора. Трудносклеиваемые материалы, полилиэтилен, полипропилен и др. &laquo;жирные&raquo; пластики склеивать с применением LOXEAL Activator 7.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в плотно закрытой оригинальной упаковке. Срок годности составляет 12 месяцев в оригинальной упаковке при температуре 8-20&deg;С. Для увеличении срока годности продукт рекомендуется хранить при температуре +5&deg;С.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127798","","82299","","",""
"","Силиконовый герметик LOXEAL 59-20, прозорий, t до +200°C, 310 мл","герметизация, силиконовый герметик, для фланцев, для труб","Однокомпонентный силиконовый клей-герметик. Не подвержен воздействию кислорода, маслостойкий, химостойкий, вибростойкий, t до +200°C","r","","","","","","","http://images.prom.ua/7428153_w640_h640_cid44586_pid3127799.png","+","788319","<p> <strong>LOXEAL 59-20</strong>&ndash; однокомпонентный силиконовый клей-герметик. Не подвержен воздействию кислорода, маслостойкий, химостойкий, вибростойкий. Характеризуется высокой адгезией к различным поверхностям. Не содержит растворителей. Сохраняет рабочие характеристики в широком диапазоне рабочих температур.<br /> <strong>Свойства продукта:</strong> Тип химического соединения: силикон с нейтральной полимеризацией.<br /> Цвет: прозрачный, черный.<br /> Вязкость, при 25 &deg;С, сПз: пастообразный.<br /> Удельный вес, гр/см&sup3;: 1.39.<br /> Величина монтажного зазора: 3 мм.<br /> Твердость: 30 ShA.<br /> Прочность на отрыв, мПа: 2.6.<br /> Степень растяжения до разрыва: 550%.<br /> Усадка: 1%.<br /> Диэлектрическая прочность, кВ/мм: 20.<br /> Диапазон рабочих температур, &deg;С: от &ndash;55 до +200&deg;C.<br /> Время формирования поверхностной пленки: 30-50 мин<br /> Время набора функциональной прочности (75%): 3-6 ч<br /> Время набора полной прочности (100%): 24-36 ч<br /> <strong>Область применения:</strong> LOXEAL 59-20 применяется для уплотнения сантехнических соединений, фланцевых соединений насосов, двигателей, емкостей для воды и масел, воздухопроводов. Герметик образует эластичные прокладки, заменяющие традиционные прокладки из резины, пластмасс, пробкового дерева, бумаги и т. п. Характеризуется высокой адгезией к металлическим, стеклянным, пластиковым, керамическим и другими поверхностям, к акрилу и поликарбонату. Устойчив к воздействию газа, воздуха, воды, масел, к растворам солей, кислот, щелочей, спиртов, маслу и топливу, а также к ударам и вибрации.<br /> <strong>Процесс полимеризации:</strong> Продукт полимеризуется при контакте с влагой воздуха. Скорость отверждения зависит от температуры среды, влажности, величины зазора. Оптимальными условиями является температура 22&deg;C, влажность 50%. Повышение температуры и влажности ведет к сокращению времени полимеризации.<br /> <strong>Рекомендации по применению:</strong> Перед нанесением герметика поверхность желательно очистить и обезжирить. Допускается нанесение на слегка замасленную поверхность. Продукт наносится на поверхность кистью, валиком или из тубы непрерывным буртиком. Отвердевший уплотнитель можно легко удалить с поверхностей обычным инструментом.<br /> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в оригинальных плотно закрытых емкостях при температуре 8 &mdash; 28&deg;C. Срок хранения в оригинальной упаковке &ndash; 24 месяца.</p>
<p> &nbsp;</p>","http://prom.ua/Germetiki","","","","3127799","","82210","","",""
"","Фланцевый герметик LOXEAL 59-10, анаэробный, t до +200°С, 75 мл","фланцы, герметизация фланцев, герметик для металла","Анаэробный фланцевый герметик средней прочности, с высокой клеящей способностью, высокотемпературный.","r","","","","","","","http://images.prom.ua/7428184_w640_h640_cid44586_pid3127801.png","+","788319","<p> <strong>LOXEAL 59-10</strong> &ndash; однокомпонентный анаэробный герметик средней прочности, высокотемпературный, химостойкий, с высокой клеящей способностью, предохраняющий соединение от протеканий, антикоррозионный.<br /> <strong>Свойства продукта:</strong> Тип химического соединения: анаэробный метакрилат.<br /> Цвет: красный флуоресцентный.<br /> Вязкость, при 25&deg;С, сПз: 75000 &ndash; 300000.<br /> Величина монтажного зазора: 0,50 мм.<br /> Предел прочности на сдвиг, Н/мм&sup2;: 5 &ndash; 10.<br /> Предел прочности на отрыв, Н/мм&sup2;: 6 &ndash; 8.<br /> Ударостойкость, мм/мм&sup2;: 5 &ndash; 10.<br /> Диапазон рабочих температур, &deg;С: от &ndash;55 до +200.<br /> Время схватывания: 15-30 мин<br /> Время набора функциональной прочности (75%): 3-6 ч<br /> Время набора полной прочности (100%): 6-12 ч<br /> Максимальная величина монтажного зазора: 0,50 мм<br /> <strong>Область применения:</strong> Герметик создает эластичные прокладки, заменяющие традиционные прокладки из резины, пробкового дерева, бумаги и др., которые используются в соединениях. Характеризуется высокой адгезией к металлическим, стеклянным, полимерным, керамическим и другим поверхностям. Устойчив к воздействию газов, воды, масел, и других химических веществ, а также к ударам и вибрации. Сохраняет рабочие характеристики в широком диапазоне рабочих температур. Применяется для герметизации плотно прилегающих соединений, предохраняя их от коррозии.<br /> <strong>Процесс полимеризации:</strong> Отверждение материала наступает после прекращения контакта с кислородом воздуха между двумя плотно прилягающими металлическими поверхностями, продукт обеспечивает герметичность сразу после закручивания соединения. На скорость полимеризации влияет температура среды, величина зазора, качество поверхности, применение активатора.<br /> <strong>Рекомендации по применению:</strong> для достижения наилучших результатов уплотняемые поверхности необходимо очистить и обезжирить. Рекомендуемый зазор &ndash; 0,5 мм. Флуоресцентная добавка позволяет определить наличие герметика в соединении при помощи УФ-лампы. Клей наносится непосредственно из тубы на одну из поверхностей беспрерывным буртиком, минуя отверстия для крепежей. Также можно применить шпатель либо валик.<br /> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место, в оригинальных плотно закрытых емкостях при температуре 8 &mdash; 28&deg;C.</p>
<p> &nbsp;</p>","http://prom.ua/Drugie-kleyaschie-veschestva-i-germetiki","","","","3127801","","82299","","",""
"","Смазка силиконовая Loxeal Grasso 9, для пищепрома, для оружия, 100 гр.","силиконовая смазка, пищевой допуск, силиконовое масло","Силиконовая смазка, сертифицирована для применения в пищевой промышленности и в контакте с питьевой водой.","r","","","","","","","http://images.prom.ua/7428156_w640_h640_cid44586_pid3127802.png","+","788319","<p> <strong>Loxeal Grasso 9</strong> &ndash; смазка силиконовая для металлических, пластиковых, резиновых поверхностей, сертифицирована NSF Class H1 для применения в пищевой промышленности и в контакте с питьевой водой. Не имеет запаха и вкуса. Применение продукта исключает развитие и распространение грибка и плесени даже в условиях с высокой температурой и влажностью. Смазка не горюча, не проводит электричество.</p>
<p> <strong>Свойства продукта:</strong> &bull; Состав: силиконовое масло.<br /> &bull; Цвет: белый.<br /> &bull; Запах: без запаха.<br /> &bull; Консистенция: паста<br /> &bull; Диапазон рабочих температур, &deg;С: -40 / +200.<br /> &bull; Точка вспышки, &deg;C: &ge; 300.<br /> &bull; Температура каплепадения, &deg;C: 200.<br /> &bull; Диэлектрическая постоянная, KV/mm: 20.<br /> &bull; Растворимость: не растворяется в воде, минеральных и растительных маслах, растворах солей, кислот и щелочей; легко удаляется органическими растворителями.</p>
<p> <strong>Область применения:</strong> Применяется в пищевой промышленности (допускается случайный контакт с пищевыми продуктами и питьевой водой) для смазывания инструментов, лент, конвейеров и ножей, в особенности содержащих пластмассовые и эластомерные компоненты. Может также применятся и как разделительная смазка при литье форм, а также как оружейная смазка.</p>
<p> <strong>Рекомендации по применению:</strong> Смазка применяется на соединениях металл/пластик, металл/металл, металл/резина, пластик/пластик. Наносить на предварительно очищенную от масляных остатков поверхность. В случае невозможности очистки, необходимо проверить совместимость старых смазок с продуктом. Не использовать на частях, которые в последствии будут окрашиваться. Не распылять на конвейер во время транспортировки по нему продуктов питания.</p>
<p> <strong>Условия хранения:</strong> Оптимальными условиями хранения продукта является сухое прохладное место при температуре +10/+20&deg;C. Срок годности составляет 5 лет в оригинальной упаковке.</p>
<p> &nbsp;</p>","http://prom.ua/Smazochno-ohlazhdayuschie-zhidkosti","","","","3127802","","10010207","","",""
